azimuth,md (ft),tvd (ft),footage lateral length,well spacing,porpoise deviation,porpoise count,shale footage,acoustic impedance,log permeability,porosity,poisson ratio,water saturation,toc,vcl,p-velocity,s-velocity,youngs modulus,isip,breakdown pressure,pump rate,total number of stages,proppant volume,proppant fluid ratio,production,tc_number,op_number,date_sec
-28.09,13155,7914.0,5049.0,3045.8044,13.39,8,4808,34279.87,1.4,0.08,0.22,,3.98,0.61,12070.16,6813.06,27.57,4828.0,9120.0,74,9,6001695.0,1.32,1664.3550619999999,11,6,1341100800
-27.33,17888,7437.0,9864.0,4047.5227,3.09,12,635,27153.3,1.29,,0.34,,4.28,1.79,12208.36,6421.66,29.61,5213.0,5554.0,64,49,11430950.0,0.87,2633.7094079999997,3,5,1425168000
-44.549999,11904,7059.0,4450.0,740.15375,7.47,15,0,34735.75,0.29,0.02,0.34,,4.68,0.63,13203.24,6983.49,31.02,4416.0,,89,13,6351477.0,1.3,422.3383461,9,7,1293840000
-48.43,15830,7528.0,8180.0,751.70386,331.96,1,6693,32451.85,0.36,0.02,0.33,0.84,4.71,0.59,13266.77,6986.73,31.01,,,84,55,10834362.0,0.9,2619.1135280000003,5,8,1404172800
-47.490002000000004,16599,6146.0,9922.0,3431.4177,5.35,14,0,35042.97,0.35,0.02,0.33,0.86,4.65,0.6,13164.73,7033.62,31.16,4219.0,,95,52,14069535.0,1.23,1305.405685,4,7,1491004800
-8.5600004,13266,7549.0,4923.0,,2.76,9,6187,33199.52,1.24,0.04,0.32,0.8,4.9,0.97,12591.02,7452.84,32.84,5639.0,,85,14,,0.37,1205.091027,5,8,1309478400
-36.779999,13993,8027.0,5329.0,,127.13,11,0,34786.71,0.89,0.04,0.27,,4.41,0.47,11603.53,7056.84,31.34,6035.0,10034.0,91,37,8473767.0,1.12,983.4577926000001,12,9,1404172800
-24.879998999999998,11916,7516.0,3887.0,,307.69,1,1717,31044.9,0.43,0.02,0.33,,4.68,0.59,13213.38,7027.22,31.12,5391.0,,86,13,4544487.0,0.88,895.1185707000001,5,8,1372636800
-32.790001000000004,11850,8397.0,3089.0,735.71985,4.16,3,0,35192.75,0.7,0.03,0.25,,4.62,0.57,11809.23,7070.36,30.93,6180.0,8950.0,82,11,3187844.0,0.96,1373.7737339999999,9,10,1375315200
-21.209999,11525,6603.0,3874.0,,16.84,7,5066,31990.58,0.47,0.02,0.34,,4.66,0.58,13184.96,7049.93,31.19,4210.0,,69,18,8736369.0,1.25,667.0924295,10,11,1356998400
-41.639998999999996,15315,8281.0,6527.0,3065.821,5.28,6,5284,34782.28,0.85,0.07,0.34,,4.6,0.6,12748.61,6632.68,29.9,5903.0,,80,37,14687519.0,1.26,1934.384962,9,12,1514764800
